Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,65.000000,66.879997,60.580002,62.799999,62.253201,17690000
2020-03-24,65.699997,72.660004,64.000000,72.330002,71.700218,18849500
2020-03-25,80.110001,83.489998,76.199997,79.010002,78.322060,27053200
2020-03-26,80.169998,86.860001,80.010002,84.300003,83.565994,17200800
2020-03-27,81.699997,85.739998,79.510002,83.230003,82.505318,14183400
2020-03-30,84.000000,85.959999,81.500000,85.379997,84.636589,10960100
2020-03-31,85.129997,85.730003,82.400002,82.739998,82.019585,9610100
2020-04-01,79.489998,81.180000,78.529999,79.230003,78.540146,9771300
2020-04-02,79.000000,81.599998,77.160004,80.139999,79.442215,12731300
2020-04-03,79.360001,79.790001,77.910004,78.860001,78.173370,8476900
2020-04-06,81.910004,85.040001,81.209999,84.629997,83.893112,11266500
2020-04-07,88.699997,88.870003,84.029999,84.160004,83.427216,10468100
2020-04-08,84.699997,85.769997,83.610001,85.300003,84.557289,6642700
2020-04-09,86.690002,87.389999,85.160004,86.790001,86.034317,7773600
2020-04-13,85.800003,85.989998,84.139999,84.459999,83.724602,5077600
2020-04-14,85.949997,87.769997,85.480003,87.470001,86.708397,6397200
2020-04-15,84.870003,85.879997,83.709999,85.040001,84.299553,8053900
2020-04-16,85.430000,86.529999,84.550003,86.300003,85.548592,9373800
2020-04-17,89.000000,90.250000,88.360001,89.910004,89.127159,8111400
2020-04-20,88.430000,89.440002,87.519997,87.900002,87.134659,7244400
2020-04-21,85.989998,86.900002,85.089996,85.199997,84.458160,6597000
2020-04-22,86.980003,89.440002,86.419998,88.769997,87.997078,6463900
2020-04-23,88.940002,89.529999,87.260002,87.349998,86.589439,5343500
2020-04-24,88.889999,89.120003,87.650002,88.370003,87.600563,4450100
2020-04-27,88.379997,89.870003,87.309998,89.370003,88.591858,6875100
2020-04-28,90.550003,90.709999,88.629997,88.800003,88.026825,5145400
2020-04-29,90.000000,91.389999,87.830002,88.070000,87.303177,9461400
2020-04-30,87.000000,88.000000,86.510002,87.180000,86.420921,9371400
2020-05-01,85.669998,86.110001,84.809998,85.540001,84.795204,6151200
2020-05-04,84.680000,85.800003,84.309998,85.750000,85.003365,6348900
2020-05-05,86.540001,88.529999,86.029999,87.199997,86.440742,6321500
2020-05-06,88.050003,88.690002,87.430000,88.440002,87.669945,7342300
2020-05-07,89.400002,90.239998,88.379997,88.559998,87.788902,4565900
2020-05-08,90.110001,90.639999,89.589996,90.459999,89.672363,5489400
2020-05-11,89.449997,91.419998,89.139999,90.930000,90.138268,4937600
2020-05-12,91.529999,91.669998,88.150002,88.260002,87.491516,5622600
2020-05-13,87.379997,87.739998,85.199997,86.019997,85.271011,6739800
2020-05-14,85.000000,86.580002,84.110001,86.550003,85.796410,7431800
2020-05-15,85.250000,87.230003,84.879997,86.989998,86.232574,9165000
2020-05-18,90.489998,91.599998,89.879997,91.040001,90.247307,8519600
2020-05-19,90.849998,93.820000,90.820000,91.510002,90.713219,6514100
2020-05-20,93.199997,93.860001,92.699997,92.949997,92.140678,6347000
2020-05-21,92.879997,94.379997,92.370003,94.260002,93.439278,7504300
2020-05-22,94.419998,94.650002,93.349998,93.750000,92.933716,4049500
2020-05-26,95.980003,97.430000,95.279999,96.620003,95.778732,7185200
2020-05-27,98.120003,99.989998,97.620003,99.870003,99.000435,7915900
2020-05-28,100.089996,100.690002,98.250000,98.459999,97.602699,7260700
2020-05-29,98.190002,99.250000,96.930000,98.580002,97.965431,10333400
2020-06-01,98.400002,99.779999,97.889999,99.540001,98.919441,4295400
2020-06-02,99.419998,100.879997,98.820000,100.739998,100.111954,10798700
2020-06-03,101.260002,104.550003,101.120003,104.110001,103.460953,5867700
2020-06-04,103.660004,103.900002,100.470001,101.279999,100.648590,8775000
2020-06-05,104.000000,104.690002,102.129997,102.709999,102.069687,8363600
2020-06-08,103.050003,104.300003,102.709999,104.290001,103.639832,6165400
2020-06-09,102.820000,103.769997,102.430000,102.629997,101.990181,5385900
2020-06-10,103.000000,103.150002,101.709999,102.120003,101.483360,5194200
2020-06-11,98.379997,98.989998,94.879997,95.169998,94.576683,10976900
2020-06-12,97.800003,97.800003,94.739998,96.430000,95.828842,7416400
2020-06-15,93.900002,98.080002,93.440002,97.839996,97.230042,8645300
2020-06-16,101.250000,101.339996,97.720001,99.040001,98.422569,6054400
2020-06-17,99.000000,100.239998,98.889999,99.209999,98.591507,3405500
2020-06-18,98.690002,99.419998,97.849998,98.449997,97.836235,4392400
2020-06-19,99.970001,99.980003,95.779999,95.779999,95.182884,10304000
2020-06-22,96.849998,99.540001,96.019997,99.510002,98.889633,6918200
2020-06-23,101.150002,102.220001,100.709999,101.919998,101.284607,6499000
2020-06-24,100.940002,101.849998,98.089996,100.080002,99.456078,8611600
2020-06-25,99.230003,101.680000,98.800003,101.400002,100.767860,11531400
2020-06-26,98.500000,98.779999,93.570000,93.669998,93.086044,24918500
2020-06-29,93.699997,96.000000,93.699997,95.870003,95.272324,9624200
2020-06-30,96.000000,98.300003,95.639999,98.050003,97.438736,9065500
2020-07-01,98.500000,98.720001,97.110001,97.400002,96.792786,5733800
2020-07-02,98.779999,99.660004,98.019997,98.430000,97.816360,5354900
2020-07-06,99.620003,100.029999,99.040001,99.949997,99.326889,4995000
2020-07-07,99.220001,99.550003,96.919998,97.070000,96.464836,6352900
2020-07-08,97.500000,98.980003,96.959999,98.839996,98.223808,5634600
2020-07-09,98.550003,98.910004,96.370003,96.989998,96.385338,6282300
2020-07-10,97.000000,98.050003,95.720001,97.989998,97.379105,3967000
2020-07-13,98.250000,98.940002,96.260002,96.459999,95.858650,4845600
2020-07-14,96.330002,97.250000,95.510002,96.760002,96.156776,4850600
2020-07-15,98.410004,99.040001,97.309998,98.540001,97.925674,5343700
2020-07-16,97.500000,98.230003,97.040001,97.260002,96.653664,3594700
2020-07-17,96.949997,97.230003,96.040001,96.279999,95.679764,7405700
2020-07-20,95.500000,96.349998,95.110001,95.650002,95.053696,5822300
2020-07-21,96.919998,99.000000,96.099998,98.360001,97.746803,5857100
2020-07-22,98.160004,98.989998,97.910004,98.910004,98.293373,4097000
2020-07-23,98.349998,100.180000,97.720001,98.300003,97.687180,4530500
2020-07-24,98.139999,99.360001,97.699997,98.430000,97.816360,5638400
2020-07-27,96.959999,98.400002,96.889999,97.209999,96.603966,4273400
2020-07-28,96.949997,97.470001,96.160004,96.269997,95.669830,3822600
2020-07-29,96.430000,97.550003,96.300003,96.970001,96.365463,6872400
2020-07-30,96.470001,97.230003,95.800003,96.820000,96.216400,4018400
2020-07-31,96.889999,97.650002,96.300003,97.610001,97.001472,5510400
2020-08-03,98.029999,99.290001,97.820000,98.330002,97.716995,5472700
2020-08-04,97.790001,97.949997,96.550003,97.330002,96.723221,7539300
2020-08-05,97.120003,101.250000,97.080002,100.940002,100.310722,7227100
2020-08-06,100.639999,101.180000,100.029999,100.449997,99.823769,4060900
2020-08-07,101.000000,101.910004,99.889999,101.860001,101.224991,5545600
2020-08-10,102.470001,106.830002,102.400002,105.410004,104.752853,12678000
2020-08-11,106.849998,107.330002,104.860001,105.120003,104.464661,5400700
2020-08-12,105.720001,105.889999,103.379997,105.220001,104.564034,4714800
2020-08-13,105.300003,106.989998,105.199997,106.519997,105.855927,4281700
2020-08-14,106.120003,106.779999,105.459999,106.430000,105.766495,2985700
2020-08-17,106.500000,106.500000,105.120003,105.660004,105.001289,3017000
2020-08-18,106.459999,107.000000,105.470001,106.970001,106.303131,5023000
2020-08-19,107.690002,109.690002,107.349998,108.389999,107.714264,9508100
2020-08-20,107.559998,108.739998,107.349998,108.010002,107.336639,4304000
2020-08-21,108.000000,109.769997,107.750000,109.750000,109.065788,5564000
