Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,2251.969971,2293.669922,2217.889893,2227.149902,2227.149902,8019000
2020-05-04,2226.129883,2226.129883,2130.790039,2144.959961,2144.959961,5381000
2020-05-05,2148.189941,2223.379883,2148.189941,2197.969971,2197.969971,5016600
2020-05-06,2196.439941,2215.229980,2180.810059,2185.320068,2185.320068,4167600
2020-05-07,2185.500000,2227.669922,2185.060059,2224.570068,2224.570068,3544100
2020-05-08,2225.370117,2250.090088,2220.989990,2246.500000,2246.500000,2429400
2020-05-11,2247.120117,2264.120117,2206.189941,2226.310059,2226.310059,3682600
2020-05-12,2226.929932,2230.239990,2192.649902,2200.770020,2200.770020,4265900
2020-05-13,2201.000000,2202.469971,2165.080078,2165.080078,2165.080078,5115900
2020-05-14,2164.449951,2164.520020,2089.780029,2115.969971,2115.969971,5208500
2020-05-15,2116.590088,2157.399902,2116.350098,2130.850098,2130.850098,4203500
2020-05-18,2132.179932,2220.929932,2132.179932,2209.290039,2209.290039,4765800
2020-05-19,2209.239990,2226.840088,2093.219971,2114.219971,2114.219971,10081800
2020-05-20,2114.080078,2153.419922,2081.639893,2145.719971,2145.719971,6455800
2020-05-21,2145.290039,2146.959961,2096.360107,2099.530029,2099.530029,4363400
2020-05-22,2100.050049,2147.370117,2067.520020,2127.469971,2127.469971,5700800
2020-05-25,2128.629883,2162.560059,2128.629883,2152.790039,2152.790039,3506300
2020-05-26,2153.449951,2223.000000,2153.449951,2214.860107,2214.860107,6667500
2020-05-27,2215.610107,2275.500000,2215.610107,2250.949951,2250.949951,7224200
2020-05-28,2253.250000,2287.260010,2236.689941,2269.129883,2269.129883,5912300
2020-05-29,2268.750000,2268.760010,2211.090088,2232.300049,2232.300049,12317000
2020-06-02,2232.060059,2333.479980,2232.060059,2308.790039,2308.790039,8348900
2020-06-03,2309.530029,2369.399902,2308.600098,2366.479980,2366.479980,8077800
2020-06-04,2367.229980,2395.179932,2335.370117,2388.909912,2388.909912,8300700
2020-06-05,2392.189941,2493.040039,2392.189941,2485.000000,2485.000000,8729700
2020-06-08,2480.870117,2536.669922,2463.639893,2512.679932,2512.679932,8105900
2020-06-09,2512.919922,2530.629883,2405.979980,2451.139893,2451.139893,7547100
2020-06-10,2451.469971,2490.800049,2377.649902,2386.800049,2386.800049,5582200
2020-06-11,2386.260010,2386.260010,2267.149902,2270.520020,2270.520020,6635200
2020-06-12,2271.030029,2350.469971,2231.510010,2307.560059,2307.560059,6211400
2020-06-15,2306.899902,2306.899902,2253.209961,2284.060059,2284.060059,6706100
2020-06-16,2288.260010,2399.790039,2288.260010,2350.800049,2350.800049,6070200
2020-06-17,2351.189941,2382.209961,2324.100098,2340.750000,2340.750000,5995800
2020-06-18,2341.280029,2363.419922,2312.310059,2326.409912,2326.409912,5040600
2020-06-19,2327.010010,2348.469971,2311.070068,2318.600098,2318.600098,18809100
2020-06-22,2319.469971,2319.469971,2270.800049,2279.500000,2279.500000,4561900
2020-06-23,2279.250000,2330.909912,2279.250000,2309.909912,2309.909912,4676600
2020-06-24,2311.540039,2314.409912,2224.110107,2227.100098,2227.100098,5823000
2020-06-25,2226.919922,2253.280029,2182.830078,2249.610107,2249.610107,6138600
2020-06-26,2249.729980,2266.459961,2226.199951,2232.399902,2232.399902,3654000
2020-06-29,2231.540039,2251.770020,2202.570068,2247.800049,2247.800049,4553500
2020-06-30,2251.179932,2260.239990,2221.520020,2246.719971,2246.719971,4797200
2020-07-01,2246.800049,2268.510010,2215.399902,2254.129883,2254.129883,3551500
2020-07-02,2254.790039,2313.260010,2254.790039,2288.330078,2288.330078,4990400
2020-07-03,2287.989990,2296.219971,2257.139893,2272.780029,2272.780029,2651900
2020-07-06,2272.949951,2351.330078,2272.949951,2343.050049,2343.050049,4007400
2020-07-07,2339.300049,2339.300049,2298.379883,2317.360107,2317.360107,3675600
2020-07-08,2316.379883,2316.409912,2279.719971,2289.340088,2289.340088,3625400
2020-07-09,2290.060059,2311.229980,2266.199951,2266.199951,2266.199951,5027400
2020-07-10,2266.199951,2277.939941,2246.340088,2277.939941,2277.939941,4465700
2020-07-13,2289.899902,2319.489990,2280.520020,2301.699951,2301.699951,3816700
2020-07-14,2302.139893,2306.879883,2272.600098,2306.560059,2306.560059,3735900
2020-07-15,2306.810059,2348.580078,2301.919922,2332.350098,2332.350098,4199800
2020-07-16,2332.350098,2339.679932,2310.070068,2323.239990,2323.239990,2939200
2020-07-17,2322.629883,2326.429932,2287.979980,2313.300049,2313.300049,3485000
2020-07-20,2313.330078,2322.090088,2288.389893,2311.600098,2311.600098,2668700
2020-07-21,2313.189941,2364.270020,2311.919922,2338.459961,2338.459961,4807400
2020-07-22,2338.459961,2356.320068,2309.610107,2324.179932,2324.179932,3437900
2020-07-23,2321.750000,2329.729980,2288.570068,2296.870117,2296.870117,3383200
2020-07-24,2295.280029,2295.280029,2245.239990,2257.360107,2257.360107,3102500
2020-07-27,2254.399902,2257.290039,2233.120117,2247.469971,2247.469971,3797200
2020-07-28,2248.520020,2271.739990,2224.030029,2230.409912,2230.409912,3249800
2020-07-29,2230.409912,2247.600098,2200.149902,2208.050049,2208.050049,3955200
2020-07-30,2207.879883,2217.860107,2129.449951,2146.899902,2146.899902,5183100
2020-07-31,2146.479980,2189.159912,2120.209961,2123.550049,2123.550049,6303600
2020-08-03,2123.860107,2157.070068,2116.389893,2155.100098,2155.100098,4089800
2020-08-04,2155.520020,2203.050049,2155.520020,2193.159912,2193.159912,6689100
2020-08-05,2192.790039,2235.770020,2189.860107,2222.030029,2222.030029,4354000
2020-08-06,2222.379883,2229.679932,2176.280029,2193.840088,2193.840088,4198100
2020-08-07,2193.550049,2197.379883,2164.689941,2194.929932,2194.929932,3400500
2020-08-10,2195.459961,2225.060059,2195.419922,2224.129883,2224.129883,3287800
2020-08-11,2219.870117,2285.879883,2215.389893,2272.389893,2272.389893,4289600
2020-08-12,2272.389893,2299.290039,2262.090088,2287.580078,2287.580078,4889700
2020-08-13,2287.110107,2287.110107,2262.669922,2268.739990,2268.739990,3409400
2020-08-14,2269.050049,2269.600098,2221.510010,2246.320068,2246.320068,2867700
2020-08-17,2246.360107,2254.870117,2223.540039,2224.270020,2224.270020,2491600
2020-08-18,2222.409912,2241.010010,2199.979980,2212.520020,2212.520020,3122200
2020-08-19,2212.419922,2218.889893,2195.679932,2218.889893,2218.889893,2964700
2020-08-20,2218.500000,2218.500000,2185.439941,2199.909912,2199.909912,2879800
2020-08-21,2199.989990,2212.949951,2177.679932,2194.899902,2194.899902,3321000
2020-08-24,2195.020020,2252.159912,2195.020020,2247.209961,2247.209961,2769500
2020-08-25,2247.580078,2288.139893,2234.560059,2234.560059,2234.560059,3570100
